[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=30.1% windows=4929/16384 env_steps=128 acceptance=60.17% rejected(done=41 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=40.0% windows=6554/16384 env_steps=164 acceptance=62.44% rejected(done=66 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=50.1% windows=8208/16384 env_steps=203 acceptance=63.18% rejected(done=89 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=60.2% windows=9864/16384 env_steps=244 acceptance=63.17% rejected(done=117 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=70.2% windows=11508/16384 env_steps=281 acceptance=63.99% rejected(done=138 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=80.3% windows=13151/16384 env_steps=320 acceptance=64.21% rejected(done=161 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=90.1% windows=14764/16384 env_steps=358 acceptance=64.44% rejected(done=188 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=100.0% windows=16384/16384 env_steps=399 acceptance=64.16% rejected(done=217 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=100.0% windows=64/64 env_steps=6 acceptance=16.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=static_stand profile=cold_start mode=planner_idm progress=0.0% windows=0/64 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
